client_id,age,anciennete_mois,score_credit,type_compte,pays_residence,limite_credit,alertes_precedentes
201,30,193,726,premium,FR,20000,0
3626,45,222,467,standard,GB,5000,1
10955,31,58,320,premium,MA,5000,0
12527,73,134,516,premium,MA,20000,0
8638,38,40,676,premium,DE,5000,0
10578,22,168,545,standard,DE,10000,0
13003,20,63,317,premium,DE,5000,2
7983,58,38,695,standard,MA,5000,0
10225,40,120,576,premium,MA,50000,1
5099,68,162,468,standard,FR,20000,0
4747,42,48,750,standard,MA,10000,0
7520,23,157,802,premium,DE,10000,0
4015,70,200,316,premium,GB,10000,0
1935,61,225,717,standard,FR,10000,0
992,58,60,509,premium,ES,10000,0
4739,68,168,743,premium,MA,10000,0
14152,21,94,492,standard,MA,20000,0
14061,43,59,587,standard,ES,5000,0
11588,51,87,614,standard,MA,10000,0
13841,55,47,346,standard,FR,5000,0
12420,48,84,615,standard,DE,10000,0
10575,42,23,502,premium,DE,5000,0
616,43,6,352,premium,MA,10000,1
3550,24,211,718,standard,FR,10000,0
9050,51,103,583,standard,ES,5000,0
6891,29,73,578,standard,DE,10000,0
4329,71,152,412,standard,MA,10000,2
8779,65,8,365,premium,ES,5000,0
14347,48,54,556,pro,MA,10000,0
10885,19,196,342,standard,ES,5000,0
6783,65,216,793,standard,MA,10000,0
4641,69,196,439,premium,FR,10000,0
11726,24,201,725,standard,ES,5000,1
4809,72,187,662,premium,MA,20000,1
14714,47,138,716,standard,FR,20000,1
3630,73,91,772,standard,MA,20000,0
2031,19,145,721,standard,FR,5000,0
10123,33,177,625,standard,MA,20000,0
4498,38,31,460,standard,MA,5000,0
1246,73,167,422,pro,MA,5000,0
3261,46,180,371,pro,MA,20000,0
2385,56,233,706,standard,FR,50000,0
6032,31,119,538,standard,MA,10000,0
11669,55,106,702,premium,MA,10000,0
13050,55,95,432,standard,DE,10000,0
8951,23,92,633,standard,MA,20000,0
3136,27,133,437,standard,FR,50000,0
9575,50,149,396,standard,MA,10000,0
5687,38,11,417,standard,MA,10000,0
14654,20,211,844,standard,MA,20000,0
4475,70,227,307,premium,MA,5000,0
12376,58,18,424,premium,FR,10000,0
11514,67,58,813,premium,ES,5000,0
4048,47,183,408,standard,MA,5000,1
6630,18,131,833,standard,DE,10000,1
9777,58,19,429,premium,MA,50000,0
7664,71,140,834,premium,MA,20000,0
4306,59,47,500,premium,MA,5000,1
12386,66,171,688,premium,FR,5000,1
4753,64,199,768,pro,DE,5000,1
13741,46,211,543,premium,MA,10000,0
2544,26,49,714,premium,FR,10000,0
2662,28,87,381,standard,FR,10000,2
10292,40,222,835,standard,MA,5000,0
8122,50,127,721,pro,ES,20000,0
513,38,234,547,pro,MA,10000,0
4822,51,23,654,standard,DE,50000,0
13431,42,147,433,standard,MA,10000,0
1489,74,68,319,pro,MA,5000,0
989,40,57,431,pro,MA,10000,1
14099,26,204,761,standard,FR,5000,0
5780,43,56,730,standard,MA,5000,0
9921,54,180,670,premium,MA,10000,0
7864,42,61,837,standard,MA,5000,0
10720,19,157,381,standard,DE,5000,1
7817,41,215,364,pro,MA,20000,0
70,66,62,747,standard,MA,5000,0
2187,36,6,732,standard,MA,10000,1
4766,62,12,764,premium,MA,20000,0
7748,42,91,684,standard,MA,5000,0
3941,19,208,632,premium,MA,10000,0
9908,51,194,712,standard,MA,5000,0
8612,67,94,818,premium,MA,5000,0
1446,66,104,745,premium,FR,10000,0
4419,45,37,576,standard,ES,10000,1
12981,47,232,333,standard,MA,5000,1
7474,25,28,837,standard,FR,10000,1
2855,54,7,795,standard,FR,20000,0
5456,23,185,500,standard,FR,10000,0
11699,68,133,372,premium,ES,20000,1
4172,41,52,471,premium,MA,20000,0
5856,26,9,822,standard,ES,10000,0
10789,41,71,511,standard,MA,5000,0
5631,69,204,729,standard,MA,5000,1
14184,62,99,708,pro,MA,5000,1
8421,40,229,393,standard,MA,5000,0
1361,41,80,776,standard,DE,10000,0
12335,72,215,610,standard,DE,5000,0
8393,46,161,343,premium,MA,20000,0
6241,65,56,516,standard,ES,5000,0
5977,34,103,497,standard,ES,5000,0
11941,35,31,449,standard,FR,20000,0
10948,71,107,772,standard,DE,5000,0
2724,63,78,510,standard,MA,5000,0
2907,22,216,639,standard,MA,20000,1
9126,52,18,498,premium,MA,10000,0
10664,58,129,544,standard,FR,10000,1
13949,35,182,743,premium,DE,5000,0
3865,19,192,679,standard,FR,5000,0
2253,39,89,829,standard,MA,5000,0
2900,34,27,801,pro,FR,5000,0
8902,62,177,759,premium,MA,20000,1
2686,38,66,766,standard,MA,10000,0
4175,43,64,761,pro,DE,5000,1
10330,36,19,579,standard,FR,5000,1
11686,54,215,543,premium,MA,10000,0
14051,44,103,641,premium,MA,10000,0
11234,36,228,812,standard,ES,5000,0
3523,41,109,341,premium,MA,5000,0
5318,30,74,503,standard,FR,5000,1
8237,69,117,744,standard,MA,20000,1
8176,44,130,571,standard,FR,10000,0
6350,67,108,612,standard,DE,20000,0
11507,74,169,544,standard,MA,10000,0
5944,48,34,627,standard,DE,5000,1
12837,22,154,739,standard,MA,5000,1
5560,39,11,781,premium,MA,10000,1
13066,47,128,771,premium,MA,10000,0
265,18,82,499,premium,MA,20000,0
8137,44,232,568,standard,MA,10000,1
11260,48,78,433,standard,FR,20000,0
14281,72,217,807,pro,DE,5000,0
12337,33,222,446,standard,FR,10000,0
11461,41,60,380,standard,MA,5000,0
2066,68,67,765,standard,MA,10000,0
4791,36,79,573,premium,MA,10000,0
3017,72,9,528,standard,MA,10000,1
10614,72,103,760,standard,FR,10000,0
6044,74,38,641,standard,FR,5000,1
8708,58,70,797,standard,DE,5000,0
2452,72,25,836,standard,MA,10000,0
10303,38,36,670,standard,MA,10000,0
7106,57,119,642,standard,MA,5000,0
11163,32,192,310,standard,MA,5000,0
14948,62,132,365,pro,GB,20000,1
6591,66,25,783,premium,ES,10000,2
3253,59,13,813,standard,FR,10000,0
12487,19,117,805,standard,MA,5000,1
1494,65,66,838,premium,FR,10000,0
3125,50,203,581,premium,MA,20000,1
14352,66,184,381,standard,ES,10000,0
11049,50,181,623,standard,FR,20000,0
14511,30,62,664,pro,ES,5000,0
12478,21,94,635,premium,MA,10000,0
13215,68,90,728,standard,MA,5000,0
5852,20,207,533,premium,MA,5000,1
11529,27,237,619,standard,FR,10000,1
14249,52,118,771,premium,ES,20000,0
3238,46,218,672,premium,GB,20000,0
799,53,205,352,premium,MA,50000,0
2665,74,54,757,standard,MA,10000,0
6520,65,169,639,standard,MA,5000,0
5328,33,167,396,standard,MA,10000,0
8984,20,71,480,standard,MA,10000,1
4261,73,157,412,premium,GB,5000,0
14370,28,110,488,standard,MA,5000,0
11717,25,1,689,standard,MA,20000,0
6037,57,32,484,pro,MA,10000,0
14118,69,70,306,premium,MA,5000,0
9053,37,111,370,standard,FR,5000,0
13889,40,176,368,pro,MA,20000,0
14179,40,85,511,standard,ES,20000,2
13411,47,197,311,standard,DE,10000,0
11997,58,70,531,premium,MA,10000,0
4408,67,196,525,standard,FR,5000,1
8563,69,139,335,standard,MA,5000,0
2225,58,58,526,premium,MA,20000,0
